t [hour],Q [m3/s]
0,0.0
1,29.55
2,55.96
3,79.56
4,100.65
5,119.49
6,136.33
7,151.38
8,164.83
9,176.85
10,187.58
11,197.18
12,205.75
13,213.42
14,220.26
15,226.38
16,231.85
17,236.74
18,241.1
19,245.01
20,248.49
21,251.61
22,254.39
23,256.88
24,256.88
25,229.55
26,205.13
27,183.3
28,163.8
29,146.38
30,130.8
31,116.89
32,104.45
33,93.34
34,83.41
35,74.53
36,66.6
37,59.52
38,53.19
39,47.53
40,42.47
41,37.95
42,33.92
43,30.31
44,27.08
45,24.2
46,21.63
47,19.33
48,17.27
49,15.43
50,13.79
51,12.32
52,11.01
53,9.84
54,8.79
55,7.86
56,7.02
57,6.27
58,5.61
59,5.01
60,4.48
61,4.0
62,3.58
63,3.2
64,2.86
65,2.55
66,2.28
67,2.04
68,1.82
69,1.63
70,1.45
71,1.3
72,1.16
