timestamp,Q_in [m3/s],Q_dmv [m3/s],Q_t [m3/s],Water balance [m3/s],Reservoir Volume [m3],Water level [m slm],Volume loss [m3],Overflow [m3/s],Cum Volume loss [m3],Cum Volume turb [m3
2023-01-01 00:00:00,0.0,2,0,-2.0,22635467,822.82,0,0.0,0,0
2023-01-01 01:00:00,10.5,2,0,8.5,22666067,822.83,0,0.0,0,0
2023-01-01 02:00:00,18.4,2,0,16.4,22724927,822.86,0,0.0,0,0
2023-01-01 03:00:00,24.2,2,0,22.2,22804955,822.9,0,0.0,0,0
2023-01-01 04:00:00,28.6,2,0,26.6,22900787,822.95,0,0.0,0,0
2023-01-01 05:00:00,31.9,2,0,29.9,23008463,823.0,0,0.0,0,0
2023-01-01 06:00:00,34.4,2,0,32.4,23124995,823.06,0,0.0,0,0
2023-01-01 07:00:00,36.2,2,0,34.2,23248151,823.12,0,0.0,0,0
2023-01-01 08:00:00,37.6,2,0,35.6,23376239,823.19,0,0.0,0,0
2023-01-01 09:00:00,38.6,2,0,36.6,23508035,823.25,0,0.0,0,0
2023-01-01 10:00:00,39.4,2,12,25.4,23599403,823.3,0,0.0,0,43200
2023-01-01 11:00:00,40.0,2,12,26.0,23692859,823.35,0,0.0,0,86400
2023-01-01 12:00:00,40.4,2,12,26.4,23787863,823.39,0,0.0,0,129600
2023-01-01 13:00:00,40.7,2,12,26.7,23884019,823.44,0,0.0,0,172800
2023-01-01 14:00:00,41.0,2,12,27.0,23981039,823.49,0,0.0,0,216000
2023-01-01 15:00:00,41.1,2,12,27.1,24078707,823.54,0,0.0,0,259200
2023-01-01 16:00:00,41.3,2,12,27.3,24176879,823.59,0,0.0,0,302400
2023-01-01 17:00:00,41.4,2,12,27.4,24275411,823.64,0,0.0,0,345600
2023-01-01 18:00:00,41.4,2,0,39.4,24417395,823.71,0,0.0,0,345600
2023-01-01 19:00:00,41.5,2,0,39.5,24559595,823.78,0,0.0,0,345600
2023-01-01 20:00:00,41.5,2,0,39.5,24701939,823.85,0,0.0,0,345600
2023-01-01 21:00:00,41.6,2,0,39.6,24844391,823.92,0,0.0,0,345600
2023-01-01 22:00:00,41.6,2,0,39.6,24986951,823.99,0,0.0,0,345600
2023-01-01 23:00:00,41.6,2,0,39.6,25129547,824.06,0,0.0,0,345600
2023-01-02 00:00:00,41.6,2,0,39.6,25272143,824.14,0,0.0,0,345600
2023-01-02 01:00:00,31.1,2,0,29.1,25377011,824.19,0,0.0,0,345600
2023-01-02 02:00:00,23.3,2,0,21.3,25453619,824.23,0,0.0,0,345600
2023-01-02 03:00:00,17.4,2,0,15.4,25509131,824.25,0,0.0,0,345600
2023-01-02 04:00:00,13.0,2,0,11.0,25548839,824.27,0,0.0,0,345600
2023-01-02 05:00:00,9.7,2,0,7.7,25576703,824.29,0,0.0,0,345600
2023-01-02 06:00:00,7.3,2,0,5.3,25595747,824.3,0,0.0,0,345600
2023-01-02 07:00:00,5.4,2,0,3.4,25608167,824.3,0,0.0,0,345600
2023-01-02 08:00:00,4.1,2,0,2.1,25615655,824.31,0,0.0,0,345600
2023-01-02 09:00:00,3.0,2,0,1.0,25619435,824.31,0,0.0,0,345600
2023-01-02 10:00:00,2.3,2,12,-11.7,25577243,824.29,0,0.0,0,388800
2023-01-02 11:00:00,1.7,2,12,-12.3,25532999,824.27,0,0.0,0,432000
2023-01-02 12:00:00,1.3,2,12,-12.7,25487207,824.24,0,0.0,0,475200
2023-01-02 13:00:00,1.0,2,12,-13.0,25440227,824.22,0,0.0,0,518400
2023-01-02 14:00:00,0.7,2,12,-13.3,25392383,824.2,0,0.0,0,561600
2023-01-02 15:00:00,0.5,2,12,-13.5,25343891,824.17,0,0.0,0,604800
2023-01-02 16:00:00,0.4,2,12,-13.6,25294931,824.15,0,0.0,0,648000
2023-01-02 17:00:00,0.3,2,12,-13.7,25245611,824.12,0,0.0,0,691200
2023-01-02 18:00:00,0.2,2,0,-1.8,25239203,824.12,0,0.0,0,691200
2023-01-02 19:00:00,0.2,2,0,-1.8,25232615,824.12,0,0.0,0,691200
2023-01-02 20:00:00,0.1,2,0,-1.9,25225883,824.11,0,0.0,0,691200
2023-01-02 21:00:00,0.1,2,0,-1.9,25219007,824.11,0,0.0,0,691200
2023-01-02 22:00:00,0.1,2,0,-1.9,25212059,824.11,0,0.0,0,691200
2023-01-02 23:00:00,0.0,2,0,-2.0,25205039,824.1,0,0.0,0,691200
2023-01-03 00:00:00,0.0,2,0,-2.0,25197983,824.1,0,0.0,0,691200
2023-01-03 01:00:00,0.0,2,0,-2.0,25190891,824.1,0,0.0,0,691200
2023-01-03 02:00:00,0.0,2,0,-2.0,25183763,824.09,0,0.0,0,691200
2023-01-03 03:00:00,0.0,2,0,-2.0,25176635,824.09,0,0.0,0,691200
2023-01-03 04:00:00,0.0,2,0,-2.0,25169471,824.08,0,0.0,0,691200
2023-01-03 05:00:00,0.0,2,0,-2.0,25162307,824.08,0,0.0,0,691200
2023-01-03 06:00:00,0.0,2,0,-2.0,25155143,824.08,0,0.0,0,691200
2023-01-03 07:00:00,0.0,2,0,-2.0,25147979,824.07,0,0.0,0,691200
2023-01-03 08:00:00,0.0,2,0,-2.0,25140779,824.07,0,0.0,0,691200
2023-01-03 09:00:00,0.0,2,0,-2.0,25133579,824.07,0,0.0,0,691200
2023-01-03 10:00:00,0.0,2,12,-14.0,25083179,824.04,0,0.0,0,734400
2023-01-03 11:00:00,0.0,2,12,-14.0,25032779,824.02,0,0.0,0,777600
2023-01-03 12:00:00,0.0,2,12,-14.0,24982379,823.99,0,0.0,0,820800
2023-01-03 13:00:00,0.0,2,12,-14.0,24931979,823.97,0,0.0,0,864000
2023-01-03 14:00:00,0.0,2,12,-14.0,24881579,823.94,0,0.0,0,907200
2023-01-03 15:00:00,0.0,2,12,-14.0,24831179,823.92,0,0.0,0,950400
2023-01-03 16:00:00,0.0,2,12,-14.0,24780779,823.89,0,0.0,0,993600
2023-01-03 17:00:00,0.0,2,12,-14.0,24730379,823.87,0,0.0,0,1036800
2023-01-03 18:00:00,0.0,2,0,-2.0,24723179,823.86,0,0.0,0,1036800
2023-01-03 19:00:00,0.0,2,0,-2.0,24715979,823.86,0,0.0,0,1036800
2023-01-03 20:00:00,0.0,2,0,-2.0,24708779,823.85,0,0.0,0,1036800
2023-01-03 21:00:00,0.0,2,0,-2.0,24701579,823.85,0,0.0,0,1036800
2023-01-03 22:00:00,0.0,2,0,-2.0,24694379,823.85,0,0.0,0,1036800
2023-01-03 23:00:00,0.0,2,0,-2.0,24687179,823.84,0,0.0,0,1036800
2023-01-04 00:00:00,0.0,2,0,-2.0,24679979,823.84,0,0.0,0,1036800
